name,meaning,info_html,ex1,ex2,source
党,"Learn Japanese kanji: 【 トウ / なかま、 むら 】 Meaning: party, faction, clique.",<em>(No detailed table found)</em>,Example #1僕は政党には関係しない。ふりがなromajiEnglishぼくはせいとうにはかんけいしない。boku wa seitou ni wa kankei shinai.I'm not affiliated with any political party.,Example #2その党議は東京で行います。ふりがなromajiEnglishそのとうぎはとうきょうでおこないます。sono tougi wa toukyou de okonaimasu.The party meeting will be held in Tokyo.,https://jlptsensei.com/learn-japanese-kanji/%e5%85%9a-tou-meaning-party/
協,"Learn Japanese kanji: 【 キョウ 】. Meaning: co-, cooperation.",<em>(No detailed table found)</em>,Example #1私に協力して下さい。ふりがなromajiEnglishわたしにきょうりょくしてください。watashi ni kyouryoku shite kudasai.Please cooperate with me.,Example #2私は彼と共同で事業をやる。ふりがなromajiEnglishわたしはかれときょうどうでじぎょうをやる。watashi wa kare to kyoudou de jigyou o yaru.I associate with him in business.,https://jlptsensei.com/learn-japanese-kanji/%e5%8d%94-kyou-meaning-co-cooperation/
総,"Learn Japanese kanji: 【 ソウ 】. Meaning: general, whole, all.",<em>(No detailed table found)</em>,Example #1彼は総選挙で落選した。ふりがなromajiEnglishかれはそうせんきょでらくせんした。kare wa sousenkyo de rakusen shita.He lost the general election.,Example #2彼女は総理大臣の秘書官をしている。ふりがなromajiEnglishかのじょはそうりだいじんのひしょかんをしている。kanojo wa souri daijin no hishokan o shite iru.She is a secretary to the prime minister.,https://jlptsensei.com/learn-japanese-kanji/%e7%b7%8f-sou-meaning-general-all/
区,"ward, district",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%8c%ba-ku-meaning-ward-district/
領,"Learn Japanese kanji: 【 リョウ 】. Meaning: jurisdiction, dominion.",<em>(No detailed table found)</em>,Example #1彼の答えは要領を得ている。ふりがなromajiEnglishかれのこたえはようりょうをえている。kare no kotae wa youryou o eteiru.His answer is to the point.,Example #2私たちは領収書が必要です。ふりがなromajiEnglishわたしたちはりょうしゅうしょがひつようです。watashitachi wa ryoushuusho ga hitsuyou desu.We need a receipt.,https://jlptsensei.com/learn-japanese-kanji/%e9%a0%98-ryou-meaning-jurisdiction-dominion/
県,Learn Japanese kanji: 【 ケン / か(ける) 】 Meaning: prefecture.,<em>(No detailed table found)</em>,Example #1私の主人は県警です。ふりがなromajiEnglishわたしのしゅじんはけんけいです。watashi no shujin wa kenkei desu.My husband is the prefectural police.,Example #2僕は長野県に住んでいます。ふりがなromajiEnglishぼくはながのけんにすんでいます。boku wa Nagano ken ni sunde imasu.I live in Nagano prefecture.,https://jlptsensei.com/learn-japanese-kanji/%e7%9c%8c-ken-meaning-prefecture/
設,"Learn Japanese kanji: 【 セツ / もう(ける) 】. Meaning: establishment, provision.",<em>(No detailed table found)</em>,Example #1この設備は使いやすいですか。ふりがなromajiEnglishこのせつびはつかいやすいですか。kono setsubi wa tsukai yasui desuka?Is this equipment easy to use?,Example #2その会社は空港を建設しました。ふりがなromajiEnglishそのかいしゃはくうこうをけんせつしました。sono kaisha wa kuukou o kensetsu shimashita.That company built an airport.,https://jlptsensei.com/learn-japanese-kanji/%e8%a8%ad-setsu-meaning-establishment-provision/
保,"protect, guarantee, keep",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e4%bf%9d-hou-meaning-protect-guarantee-keep/
改,"reformation, change, modify",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%94%b9-kai-meaning-reformation-change-modify/
第,"No., number",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e7%ac%ac-dai-meaning-no-number/
