name,meaning,info_html,ex1,ex2,source
明け方,dawn,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%98%8e%e3%81%91%e6%96%b9-akegata-meaning-dawn/
青白い,Learn Japanese vocabulary: 【あおじろい】(aojiroi) Meaning: pale; bluish-white.,<em>(No detailed table found)</em>,Example #1大丈夫ですか。顔が青白いよ。ふりがなromajiEnglishだいじょうぶですか。かおがあおじろいよ。daijoubu desu ka? kao ga aojiroi yo.Are you ok? You look pale.,Example #2彼女はいつも青白い顔をしている。ふりがなromajiEnglishかのじょはいつもあおじろいかおをしている。kanojo wa itsumo aojiroi kao wo shiteiru.She always looks pale.,https://jlptsensei.com/learn-japanese-vocabulary/%e9%9d%92%e7%99%bd%e3%81%84-aojiroi-meaning-pale/
足跡,footprints,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%b6%b3%e8%b7%a1-ashiato-meaning-footprints/
売買,trade; buying and selling,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a3%b2%e8%b2%b7-baibai-buying-and-selling/
売店,Learn Japanese vocabulary: 【ばいてん】(baiten) Meaning: stand; stall; booth; kiosk; store.,<em>(No detailed table found)</em>,Example #1売店の裏にゴミ箱がありますよ。ふりがなromajiEnglishばいてんのうらにゴミばこがありますよ。baiten no ura ni gomi bako ga arimasu yo.There's a garbage bin behind the kiosk.,Example #2病院売店はどこにありますか。ふりがなromajiEnglishびょういんばいてんはどこにありますか。byouin baiten wa doko ni arimasu ka.Where is the hospital shop?,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a3%b2%e5%ba%97-baiten-stand/
募集,recruitment; invitation; taking applications; solicitation,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8b%9f%e9%9b%86-boshuu-meaning-recruitment/
長男,eldest son; first-born son,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%95%b7%e7%94%b7-chounan-eldest-son/
楕円,ellipse,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%a5%95%e5%86%86-daen-meaning-ellipse/
大学院,graduate school,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a4%a7%e5%ad%a6%e9%99%a2-daigakuin-graduate-school/
出入口,exit and entrance,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%87%ba%e5%85%a5%e5%8f%a3-deiriguchi-exit-and-entrance/
宴会,party; banquet; reception; feast; dinner,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%ae%b4%e4%bc%9a-enkai-meaning-banquet/
円周,circumference,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%86%86%e5%91%a8-enshuu-meaning-circumference/
遠足,excursion; outing; trip,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%81%a0%e8%b6%b3-ensoku-meaning-excursion/
父母,father and mother; parents,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e7%88%b6%e6%af%8d-fubo-meaning-parents/
学科,"Learn Japanese vocabulary: 【がっか】(gakka) Meaning: study subject; course of study​ department (university, etc.)",<em>(No detailed table found)</em>,Example #1どの学科が一番好きですか？ふりがなromajiEnglishどのがっかがいちばんすきですか？dono gakka ga ichiban suki desu ka?What is your favorite subject?,Example #2私は経営学科を専攻した。ふりがなromajiEnglishわたしはけいえいがっかをせんこうした。watashi wa keiei gakka wo senkou shita.I majored in business administration.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%ad%a6%e7%a7%91-gakka-meaning-course-of-study/
学会,scientific society; academic meeting; academic conference,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%ad%a6%e4%bc%9a-gakkai-academic-meeting/
学力,scholarly ability; scholarship; knowledge; literary ability,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%ad%a6%e5%8a%9b-gakuryoku-scholarly-ability/
外科,surgery; department of surgery,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a4%96%e7%a7%91-geka-meaning-surgery/
花火,fireworks,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%8a%b1%e7%81%ab-hanabi-fireworks/
半径,Learn Japanese vocabulary: 【はんけい】(hankei) Meaning: radius.,<em>(No detailed table found)</em>,Example #1半径2マイル以内に。ふりがなromajiEnglishはんけい２マイルいないに。hankei 2 mairu inai ni.Within a radius of 2 miles.,Example #2この円の半径はどのくらいですか？ふりがなromajiEnglishこのえんのはんけいはどのくらいですか？kono en no hankei wa dono kurai desu ka?What is the radius of this circle?,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8d%8a%e5%be%84-hankei-meaning-radius/
半島,peninsula,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8d%8a%e5%b3%b6-hantou-meaning-peninsula/
発売,sale; release (for sale); launch (product),<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e7%99%ba%e5%a3%b2-hatsubai-release-for-sale/
早口,fast-talking; rapid talking,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%97%a9%e5%8f%a3-hayaguchi-fast-talking/
外れる,to be disconnected; to be off; to miss the mark,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a4%96%e3%82%8c%e3%82%8b-hazureru-to-be-disconnected/
閉会,"closure (of a ceremony, event, meeting, etc.)",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%96%89%e4%bc%9a-heikai-meaning-event-closure/
昼寝,"Learn Japanese vocabulary: 【ひるね】(hirune) Meaning: nap, siesta.",<em>(No detailed table found)</em>,Example #1昼寝をしました。ふりがなromajiEnglishひるねをしました。hirune wo shimashita.I took a nap.,Example #2彼女は昼寝をしている。ふりがなromajiEnglishかのじょはひるねをしている。kanojo wa hirune wo shiteiru.She's taking a nap.,https://jlptsensei.com/learn-japanese-vocabulary/%e6%98%bc%e5%af%9d-hirune-nap-siesta/
意地悪,Learn Japanese vocabulary: 【 いじわる 】(ijiwaru) Meaning: malicious; ill-tempered; unkind.,<em>(No detailed table found)</em>,Example #1彼らは私に意地悪です。ふりがなromajiEnglishかれらはわたしにいじわるです。karera wa watashi ni ijiwaru desu.They are mean to me.,Example #2もしあなたに意地悪くしていたらすみません。ふりがなromajiEnglishもしあなたにいじわるくしていたらすみません。moshi anata ni iji waruku shite itara sumimasen.I'm sorry if I was mean to you.,https://jlptsensei.com/learn-japanese-vocabulary/%e6%84%8f%e5%9c%b0%e6%82%aa-ijiwaru-malicious/
移転,moving; relocation; change of address,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e7%a7%bb%e8%bb%a2-iten-moving/
一旦,What is the Japanese meaning of 【いったん】(ittan) – once; for a short time; briefly; temporarily.,<em>(No detailed table found)</em>,Example #1私は一旦その通話を保留した。ふりがなromajiEnglishわたしはいったんそのつうわをほりゅうした。watashi wa ittan sono tsuuwa wo horyuu shita.I put that call on hold temporarily.,Example #2この会議は一旦キャンセルさせていただきます。ふりがなromajiEnglishこのかいぎはいったんキャンセルさせていただきます。kono kaigi wa ittan kyanseru sasete itadakimasu.Allow us to temporarily cancel this conference.,https://jlptsensei.com/learn-japanese-vocabulary/japanese-meaning-of-%e4%b8%80%e6%97%a6-ittan/
寺院,Learn Japanese vocabulary: 【じいん】(ji’in) Meaning: Buddhist temple. religious building; church; cathedral; mosque,<em>(No detailed table found)</em>,Example #1京都は古い寺院で有名である。ふりがなromajiEnglishきょうとはふるいじいんでゆうめいである。kyouto wa furui ji'in de yuumei de aru.Kyoto is famous for its old temples.,Example #2その寺院は他のもの以上に存在感がある。ふりがなromajiEnglishそのじいんはほかのものいじょうにそんざいかんがある。sono ji'in wa hokano mono ijouni sonzaikan ga aru.That temple has more presence than others.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%af%ba%e9%99%a2-jiin-buddhist-temple/
人文科学,humanities; social sciences; liberal arts,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e4%ba%ba%e6%96%87%e7%a7%91%e5%ad%a6-jinbunkagaku-meaning-humanities/
自習,self-study; teaching oneself,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%87%aa%e7%bf%92-jishuu-self-study/
時速,Learn Japanese vocabulary: 【じそく】(jisoku) Meaning: speed (per hour).,<em>(No detailed table found)</em>,Example #1彼は時速100 キロに加速した。ふりがなromajiEnglishかれはじそく１００キロにかそくした。kare wa jisoku 100 kiro ni kasoku shita.He accelerated to 100 kph.,Example #2この車は時速120 マイルで走れる。ふりがなromajiEnglishこのくるまはじそく１２０マイルではしれる。kono kuruma wa jisoku 120 mairu de hashireru.This car does 120 mph.,https://jlptsensei.com/learn-japanese-vocabulary/%e6%99%82%e9%80%9f-jisoku-meaning-speed/
実習,Learn Japanese vocabulary: 【じっしゅう】(jisshuu) Meaning: practice (in the field); training (esp. practical and hands-on); practical exercise; drill,<em>(No detailed table found)</em>,Example #1私はその実習をする予定です。ふりがなromajiEnglishわたしはそのじっしゅうをするよていです。watashi wa sono jisshuu wo suru yotei desu.I plan to train for that.,Example #2昨日は調理実習がありました。ふりがなromajiEnglishきのうはちょうりじっしゅうがありました。kinou wa chouri jisshuu ga arimashita.I had cooking class yesterday.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%ae%9f%e7%bf%92-jisshuu-practical-exercise/
過半数,Learn Japanese vocabulary: 【かはんすう】(kahansuu) Meaning: majority.,<em>(No detailed table found)</em>,Example #1過半数を得る。ふりがなromajiEnglishかはんすうをえる。kahansuu wo eru.To win a majority.,Example #2過半数は賛成した。ふりがなromajiEnglishかはんすうはさんせいした。kahansuu wa sansei shita.The majority were in its favour.,https://jlptsensei.com/learn-japanese-vocabulary/%e9%81%8e%e5%8d%8a%e6%95%b0-kahansuu-meaning-majority/
開会,"opening of a meeting; starting (an event, etc)",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%96%8b%e4%bc%9a-kaikai-meaning-event-start/
会館,meeting hall; assembly hall,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e4%bc%9a%e9%a4%a8-kaikan-meeting-hall/
回転,Learn Japanese vocabulary: 【かいてん】(kaiten) Meaning: rotation; revolution; turning.,<em>(No detailed table found)</em>,Example #1頭の回転が速い。ふりがなromajiEnglishあたまのかいてんがはやい。atama no kaiten ga hayai.A fast thinker.,Example #2このいすは回転することができる。ふりがなromajiEnglishこのいすはかいてんすることができる。kono isu wa kaiten suru koto ga dekiru.This chair can be rotated.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%9b%9e%e8%bb%a2-kaiten-rotation/
加速,acceleration; speeding up,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8a%a0%e9%80%9f-kasoku-meaning-acceleration/
加速度,acceleration,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8a%a0%e9%80%9f%e5%ba%a6-kasokudo-meaning-acceleration/
見学,Learn Japanese vocabulary: 【けんがく】(kengaku) Meaning: study by observation; field trip; tour; review; inspection.,<em>(No detailed table found)</em>,Example #1今日私は見学するだけです。ふりがなromajiEnglishきょうはけんがくするだけです。kyou wa kengaku suru dake desu.I am just observing today.,Example #2幼稚園を見学しにきました。ふりがなromajiEnglishようちえんをけんがくしにきました。youchien wo kengaku shi ni kimashita.I went to visit and observe a kindergarten.,https://jlptsensei.com/learn-japanese-vocabulary/%e8%a6%8b%e5%ad%a6-kengaku-study-by-observation/
国王,king; queen; monarch; sovereign,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%9b%bd%e7%8e%8b-kokuou-king/
国立,national,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%9b%bd%e7%ab%8b-kokuritsu-national/
国籍,Learn Japanese vocabulary: 【こくせき】(kokuseki) Meaning: nationality; citizenship.,<em>(No detailed table found)</em>,Example #1国籍はどこですか？ふりがなromajiEnglishこくせきはどこですか？kokuseki wa doko desu ka?What is your country of citizenship?,Example #2私の国籍は日本です。ふりがなromajiEnglishわたしのこくせきはにほんです。watashi no kokuseki wa nihon desu.My nationality is Japanese.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%9b%bd%e7%b1%8d-kokuseki-nationality/
転がる,to roll; to fall over; to lie down,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%bb%a2%e3%81%8c%e3%82%8b-korogaru-to-roll-fall-over/
転がす,to roll; to turn over,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%bb%a2%e3%81%8c%e3%81%99-korogasu-to-roll/
校舎,school building; schoolhouse,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%a0%a1%e8%88%8e-kousha-meaning-school-building/
