grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
aida,間（あいだ）,Learn Japanese grammar: 【あいだ】(aida). Meaning: while; during; between ~. Meaning 1) while/during This is used when you do something the whole time during a certain...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""2"">間</td></tr><tr><td>Noun + の</td></tr></tbody></table>","Example #1昨日は、家にいる間、ずっとテレビを見ていました。hintromajiEnglishきのうは、いえにいるあいだ、ずっとテレビをみていました。kinou wa, ie ni iru aida, zutto terebi o miteimashita.Yesterday, while I was home I watched TV the entire time.","Example #2日本にいる間は、毎日日本語を話すつもりです。hintromajiEnglishにほんにいるあいだは、まいにちにほんごをはなすつもりです。nihon ni iru aida wa, mainichi nihongo o hanasu tsumori desu.I plan to speak Japanese everyday while I am in Japan.",https://jlptsensei.com/learn-japanese-grammar/%e9%96%93-aida-meaning/
aida ni,間に（あいだに）,"Learn Japanese grammar: 【あいだに】(aida ni). Meaning: while; during~ something happened. Meaning 1) doing with intent while~ This is very similar to , but one difference...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual, non-past)</td><td rowspan=""4"">間に</td></tr><tr><td>Noun + の</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1夜の間に火事が起こった。hintromajiEnglishよるのあいだにかじがおこった。yoru no aida ni kaji ga okotta.A fire broke out during the night.,Example #2知らない間に寝ていた。hintromajiEnglishしらないあいだにねていた。shiranai aida ni neteita.I fell asleep before I even realized it.,https://jlptsensei.com/learn-japanese-grammar/%e9%96%93%e3%81%ab-aida-ni-meaning/
amari~nai,あまり～ない,"Learn Japanese grammar: (amari~nai). Meaning: not very, not much ~. This is used in combination with the negative form of an adjective or verb to...","<table class=""table table-bordered table-sm usage""><tbody><tr><td rowspan=""3"">あまり</td><td>い-adjective + <s>い</s>くない</td></tr><tr><td>な-adjective + <s>な</s>じゃない</td></tr><tr><td>Verb (ない form)</td></tr></tbody></table>",Example #1私はあまり運動しない。hintromajiEnglishわたしはあまりうんどうしない。watashi wa amari undou shinai.I don't really exercise.,Example #2日本語があまり分からない。hintromajiEnglishにほんごがあまりわからない。nihongo ga amari wakaranai.I don't really understand Japanese.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%be%e3%82%8a%ef%bd%9e%e3%81%aa%e3%81%84-amarinai-meaning/
ato de,後で（あとで）,"Learn Japanese grammar: 【あとで】 (ato de). Meaning: after~; later. To say something happens before instead, use .","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (た form)</td><td rowspan=""2"">後で<br/>あとで</td></tr><tr><td>Noun + の</td></tr></tbody></table>","Example #1図書館で宿題をしたあとで、帰ります。hintromajiEnglishとしょかんでしゅくだいをしたあとで、かえります。toshokan de shukudai o shita ato de, kaerimasu.I will head home after I finish my homework at the library.","Example #2晩ご飯の後でアイスを食べた。hintromajiEnglishばんごはんのあとでアイスをたべた。bangohan no ato de aisu o tabetaAfter dinner, I had some ice cream.",https://jlptsensei.com/learn-japanese-grammar/%e5%be%8c%e3%81%a7-%e3%81%82%e3%81%a8%e3%81%a7-ato-de-meaning/
ba,ば,"Learn Japanese grammar: (ba). Meaning: conditional form; If [A] then [B]. Standard format: [A] [B] If condition [A] is met, then [B] will happen. Rules...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>special formatting rules (see below)</td></tr></tbody></table>","Example #1このボタンを押せば、ドアが開きます。hintromajiEnglishこのボタンをおせば、ドアがひらきます。kono botan o oseba, doa ga hirakimasu.If you push this button, the door will open.","Example #2あなたが行けば、わたしも行くよ。hintromajiEnglishあなたがいけば、わたしもいくよ。anata ga ikeba, watashi mo iku yo.If you go, then I'm going too.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0-ba-conditional-form-meaning/
baai wa,場合は（ばあいは）,Learn Japanese grammar: 【ばあいは】(baai wa). Meaning: in the event of; in the case that ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""4"">場合は<br/>ばあいは</td></tr><tr><td>Noun + の</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>","Example #1パスワードを忘れた場合は、こちらからご連絡ください。hintromajiEnglishパスワードをわすれたばあいは、こちらからごれんらくください。pasuwaado o wasureta baai wa, kochira kara gorenraku kudasai.If you forget your password, please contact us here.","Example #2火事の場合は、119をかけます。hintromajiEnglishかじのばあいは119をかけます。kaji no baai wa, 119 o kakemasu.In the event of a fire, call 119.",https://jlptsensei.com/learn-japanese-grammar/%e5%a0%b4%e5%90%88%e3%81%af-baai-wa-meaning/
bakari,ばかり,"Learn Japanese grammar: (bakari). Meaning: only; nothing but ~.​ This grammar point literally means “only” or “nothing but”, and is often used to express surprise,...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td rowspan=""2"">ばかり</td></tr><tr><td>Verb (て form)</td></tr></tbody></table>",Example #1娘はテレビばかり見ている。hintromajiEnglishむすめはテレビばかりみている。musume wa terebi bakari miteiru.My daughter does nothing but watch TV.,Example #2彼はお金ばかり考えている。hintromajiEnglishかれはおかねばかりかんがえている。お金だけkare wa o kane bakari kangaiteiru.He only thinks about money.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a-bakari-meaning/
dake de,だけで,Learn Japanese grammar: (dake de). Meaning: just by; just by doing; with only. (dake de) is a combination of and the . It literally means...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (casual)</td><td rowspan=""2"">だけで</td></tr><tr><td>Noun</td></tr></tbody></table>",Example #1あなたに会うだけで元気になる。hintromajiEnglishあなたにあうだけでげんきになる。anata ni au dake de genki ni naru.I get energetic from just meeting you.,Example #2あなたの写真を見るだけでうれしい。hintromajiEnglishあなたのしゃしんをみるだけでうれしい。anata no shashin o miru dake de ureshii.I'm happy to just see your picture.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%a7-dake-de-meaning/
dasu,出す（だす）,"to begin to; to start to; to burst into; ... out (e.g. to jump out, to carry out)​",<em>(no usage table)</em>,,,https://jlptsensei.com/learn-japanese-grammar/%e5%87%ba%e3%81%99-dasu-meaning/
de gozaimasu,でございます,"Learn Japanese grammar: (de gozaimasu). Meaning: to be (honorific). This is a more polite version of です (desu), which is often used by work staff...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>です -&gt;</td><td>でございます</td></tr><tr><td>ではありません -&gt;</td><td>でございません</td></tr></tbody></table>",Example #1お釣でございます。hintromajiEnglishおつりでございます。otsuri de gozaimasu.Here is your change.,"Example #2初めまして、経理部の佐藤でございます。hintromajiEnglishはじめまして、けいりぶのさとうでございます。hajime mashite, keiribu no satou degozaimasu.Nice to meet you, I am Satou from accounting.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%94%e3%81%96%e3%81%84%e3%81%be%e3%81%99-de-gozaimasu-meaning/
